FLAIR_ED_Intensity_Variance,FLAIR_ED_Histogram_Bins-16_Bins-16_Bin-2_Frequency,FLAIR_ED_Histogram_Bins-16_Bins-16_Bin-5_Probability,FLAIR_ED_Histogram_Bins-16_Bins-16_Bin-7_Probability,FLAIR_ED_Histogram_Bins-16_Bins-16_Bin-8_Probability,FLAIR_ED_Histogram_Bins-16_Bins-16_NinetyFifthPercentileMean,FLAIR_ED_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis,FLAIR_ED_GLSZM_Bins-16_Radius-1_ZoneSizeNoneUniformityNormalized,T1_ED_Intensity_Maximum,T1_ED_Intensity_MedianAbsoluteDeviation,T1_ED_Histogram_Bins-16_Bins-16_Bin-1_Probability,T1_ED_Histogram_Bins-16_Bins-16_Bin-2_Frequency,T1_ED_Histogram_Bins-16_Bins-16_Bin-3_Frequency,T1_ED_Histogram_Bins-16_Bins-16_InterQuartileRange,T1_ED_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T1_ED_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity,T1_ED_GLSZM_Bins-16_Radius-1_LargeZoneHighGreyLevelEmphasis,T1_ED_NGTDM_Complexity,T1GD_ED_Intensity_MeanAbsoluteDeviation,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-0_Frequency,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-0_Probability,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-15_Frequency,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-15_Probability,T1GD_ED_Histogram_Bins-16_Bins-16_Bin-4_Probability,T1GD_ED_Histogram_Bins-16_Bins-16_CoefficientOfVariation,T1GD_ED_Histogram_Bins-16_Bins-16_Mode,T1GD_ED_Histogram_Bins-16_Bins-16_QuartileCoefficientOfVariation,T1GD_ED_GLCM_Bins-16_Radius-1_ClusterProminence,T1GD_ED_GLSZM_Bins-16_Radius-1_ZoneSizeEntropy,T2_ED_Intensity_MeanAbsoluteDeviation,T2_ED_Intensity_Mode,T2_ED_Intensity_Range,T2_ED_Histogram_Bins-16_Bins-16_Bin-8_Probability,T2_ED_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T2_ED_GLCM_Bins-16_Radius-1_Homogeneity,T2_ED_GLRLM_Bins-16_Radius-1_ShortRunEmphasis,T2_ED_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity
293.5762366,17,0.05918108141,0.2379944357,0.1775130035,157.3192857,0.5994111626,0.336592278,248,0.1030906012,0.0005745736059,31,89,2,-0.4573605903,87.06120219,18160670.92,1164.603972,-3.693962733e-13,5,0.0001512035805,2,6.04814322e-05,0.1076569493,0.191451698,6,0.09090909091,44.35300352,5.477788964,-7.965917215e-13,91,138,0.104602637,0.2880125801,0.7437435601,0.9498686402,56.95493934
856.1740386,98,0.2395278476,0.1449979404,0.1282368148,182.8219879,0.5446786374,0.2797838938,251,0.3983892274,0.000227269499,91,815,3,0.4461300266,154.8277391,23702711.56,965.9594861,-3.334010116e-12,25,0.0003551085922,3,4.261303106e-05,0.257894064,0.2876557715,3,0.1428571429,20.82991758,5.097732633,1.372883099e-12,70,183,0.04565276061,0.3953352935,0.7079494487,0.9896720745,126.3989156
438.7078354,654,0.1062622062,0.1467550897,0.1596813398,154.0184086,0.5334799531,0.2721076385,217,0.1415705394,0.001250474197,239,552,3,0.3248422857,142.5829888,29307580.88,1091.7802,-1.727034254e-14,49,0.0006884633218,3,4.215081562e-05,0.2042488022,0.234791068,5,0.2,84.03523172,5.360498228,4.956406213e-13,105,170,0.04994871651,-0.05081983336,0.6836392893,0.9879938838,111.4197531
914.4120672,26,0.07837892741,0.1866197183,0.1417930661,187.7864238,0.565558492,0.3007689721,236,2.504028982,3.385698808e-05,6,11,3,-0.1977925244,83.70473876,13222388.08,1204.456966,-7.115507172e-13,34,0.001151137595,2,6.771397616e-05,0.2029387866,0.4252521102,3,0.3333333333,205.6335863,5.468292212,-1.697367659e-12,95,203,0.1201584507,0.2116061755,0.704081414,0.9724041136,69.02268431
282.6002113,2,0.04866840153,0.2861967776,0.2563534688,156.9640387,0.5642201381,0.299664964,226,1.485133714,5.536791983e-05,1,2,2,0.4717346769,75.92966361,7229650.356,1351.064394,1.461532235e-13,30,0.001661037595,1,5.536791983e-05,0.4099440784,0.3062031422,4,0.1428571429,69.37672148,5.200861158,-6.297452025e-13,87,179,0.2546924312,0.06079397597,0.8053808596,0.923721456,54.93495935
443.6953712,26,0.05778984509,0.2242681515,0.250992337,166.9130576,0.5164160941,0.2546226891,223,-1.262914163,0.0008545123766,243,516,2,-0.07822922984,199.0081301,27760169.19,1187.609414,-5.087964279e-13,76,0.001047466784,1,1.378245769e-05,0.2890594851,0.2781939203,3,0.1428571429,23.760468,5.504014736,-8.044678362e-13,83,215,0.02443629748,0.04218810298,0.682336829,0.9931464608,141.9533742
692.6888718,122,0.100820823,0.1395399071,0.2163840588,179.5654843,0.5878250433,0.3226822818,235,1.390619937,0.0007020196566,48,128,3,0.6129981639,108.593973,12760088.39,1135.229122,1.633753314e-13,28,0.0007560211686,6,0.0001620045361,0.3108597041,0.3042036778,3,0.1428571429,41.78528458,5.192292445,8.989213593e-13,121,191,0.05794362242,0.121179393,0.6581597975,0.978324999,108.6950853
453.7112137,856,0.1148705096,0.1043233083,0.09690893901,136.9106754,0.5363219075,0.2717830737,221,0.9706558062,0.000208855472,27,173,4,0.2943817878,34.31840796,1691132.46,1034.925685,-2.005969882e-13,3,0.000313283208,3,0.000313283208,0.1700083542,0.3293666521,6,0.2727272727,386.4204114,5.550271972,-1.722324131e-13,90,140,0.0623433584,0.4933166249,0.4899623864,0.9987742102,43.26993865
857.2365391,782,0.07450323753,0.09363449326,0.1225985732,198.1673461,0.5485262749,0.2839400937,223,0.2964899312,0.0002761028528,279,1753,3,0.5225023825,259.68341,37844262.41,967.5365018,-3.622747169e-13,9,8.015889274e-05,4,3.562617455e-05,0.2136145426,0.2696705895,5,0.2,120.134745,5.56811404,-3.790066354e-12,148,154,0.1387639499,-0.6025811163,0.6691307347,0.9865692489,182.6014581
407.6292266,41,0.1340137127,0.2113050674,0.1902829222,199.6087613,0.5166229412,0.2517511111,232,1.39110647,0.0004334462921,179,838,3,0.3245527622,141.6060606,14519722.97,948.0322117,2.483867911e-12,2,3.940420837e-05,3,5.910631255e-05,0.05353061707,0.2599332871,7,0.1428571429,335.4263447,5.803652742,-2.4713112e-12,85,178,0.06087950193,0.6450271889,0.6733726278,0.9823974223,74.45551601
635.8239105,7,0.02443501774,0.09379573814,0.1379276128,170.7620397,0.5910770634,0.3254306368,204,1.40522438,0.000694599489,122,687,2,-0.1890054824,246.9073634,3748244.561,906.1170698,3.576428402e-13,13,0.0003224926199,1,2.480712461e-05,0.1152290938,0.4186085328,3,0.2,93.5617944,5.187255575,-1.368135399e-14,107,197,0.1082086775,-0.5176998834,0.6889547776,0.9901766617,161.386817
704.1810198,363,0.1280068466,0.152902161,0.1474615643,176.9012666,0.5853034943,0.3208092733,209,1.894733625,1.528257481e-05,20,55,2,0.290093835,191.1323928,21315792.66,1118.902487,-1.493154837e-12,60,0.0009169544885,4,6.113029923e-05,0.2296054039,0.3177724024,5,0.2,199.0964494,5.630327194,4.68755969e-12,111,150,0.08709539383,0.1015068619,0.6018486375,0.9945015311,140.9697352
929.3774777,2897,0.1281982426,0.1349863492,0.1357472139,194.8549645,0.5680611783,0.3022607548,201,3.670918558,0.00377448567,1359,5878,3,0.006803025556,151.7213823,12292616.94,775.2415357,-5.363771344e-13,3,4.475674708e-05,1,1.491891569e-05,0.2389264348,0.2518012799,5,0.2,88.03292009,5.422037723,7.017532027e-13,94,175,0.0929746826,-0.02667502126,0.60921456,0.9968415927,120.0027701
425.0015675,15,0.04599812412,0.1579451305,0.199331718,213.2764933,0.5655641571,0.2990830025,225,0.4921642958,0.002872440206,586,1728,3,-0.439073003,261.9704061,4794023.854,859.3869742,7.974314936e-13,8,0.0001563232765,2,3.908081913e-05,0.1950132875,0.2874949589,5,0.2,155.9619202,5.605229461,-1.097057102e-12,106,153,0.122186181,0.0974284821,0.6130825052,0.9979691279,138.9148566
1021.39247,1950,0.1174099628,0.09550228798,0.106479835,192.3218605,0.5426779648,0.2789937689,229,2.415534533,2.370960476e-05,5,16,3,0.7084429903,131.8825787,18753992.48,1189.392852,-1.570913171e-13,1,2.370960476e-05,4,9.483841904e-05,0.2655001541,0.2725259842,5,0.2,112.6989679,5.418600428,-5.438757615e-13,91,126,0.08919553311,0.7104820163,0.6024035895,0.9896609963,132.8605769
