T1_ET_Intensity_MeanAbsoluteDeviation,T1_ET_Intensity_Variance,T1_ET_Histogram_Bins-16_Bins-16_Bin-0_Frequency,T1_ET_Histogram_Bins-16_Bins-16_Bin-5_Probability,T1_ET_Histogram_Bins-16_Bins-16_Bin-7_Probability,T1_ET_Histogram_Bins-16_Bins-16_InterQuartileRange,T1_ET_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T1_ET_Morphologic_Flatness,T1_ET_Morphologic_Roundness,T1_ET_GLCM_Bins-16_Radius-1_AutoCorrelation,T1_ET_NGTDM_Complexity,T1GD_ET_Intensity_Mode,T1GD_ET_Histogram_Bins-16_Bins-16_Bin-11_Probability,T1GD_ET_Histogram_Bins-16_Bins-16_Bin-1_Frequency,T1GD_ET_Morphologic_Flatness,T1GD_ET_Morphologic_Roundness,T1GD_ET_GLRLM_Bins-16_Radius-1_ShortRunEmphasis,T1GD_ET_GLSZM_Bins-16_Radius-1_LowGreyLevelEmphasis,T1GD_ET_GLSZM_Bins-16_Radius-1_SmallZoneLowGreyLevelEmphasis,T1GD_ET_GLSZM_Bins-16_Radius-1_ZoneSizeEntropy,T1GD_ET_GLSZM_Bins-16_Radius-1_ZoneSizeNoneUniformityNormalized,T2_ET_Intensity_StandardDeviation,T2_ET_Histogram_Bins-16_Bins-16_Bin-15_Frequency,T2_ET_Histogram_Bins-16_Bins-16_Bin-2_Probability,T2_ET_Histogram_Bins-16_Bins-16_Bin-4_Frequency,T2_ET_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T2_ET_Histogram_Bins-16_Bins-16_NinetyFifthPercentile,T2_ET_Histogram_Bins-16_Bins-16_NinetyFifthPercentileMean,T2_ET_Histogram_Bins-16_Bins-16_SeventyFifthPercentile,T2_ET_Morphologic_Flatness,T2_ET_Morphologic_Roundness,T2_ET_GLRLM_Bins-16_Radius-1_ShortRunEmphasis,T2_ET_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformity,T2_ET_GLSZM_Bins-16_Radius-1_GreyLevelNonUniformityNormalized,T2_ET_GLSZM_Bins-16_Radius-1_GreyLevelVariance,T2_ET_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis,T2_ET_GLSZM_Bins-16_Radius-1_ZoneSizeNonUniformity
3.9046439370000004e-14,230.8865597,1,0.0,0.05172413793,2,0.2319749216,1.259603625,0.6911571892,6887.381481,772.3096952,89,0.004702194357,47,1.259603625,0.6911571892,0.9582754986,0.07734489534,0.05059784831,5.290061975,0.3457763236,11.41658044,7,0.001567398119,5,-0.2539184953,117.0866678,125.1403509,9,1.259603625,0.6911571892,0.9013016336,11.46969697,0.08689164371,10.61587466,0.5003286935,31.74242424
6.722369721e-13,659.8461572,17,0.1043973035,0.204310718,3,0.2115467871,1.155586997,0.2138573669,14126.70936,901.929718,87,0.007668996227,418,1.155586997,0.2138573669,0.9983844301,0.07556590816,0.04807641595,5.927924508,0.2876551,19.31069648,2,0.007328839137,1168,0.1199826829,133.0142843,148.2030238,7,1.155586997,0.2138573669,0.9800912865,99.96188341,0.1120648917,7.58352772,0.4782524882,197.6457399
-2.323575623e-12,209.2500589,11,0.152375583,0.1783096715,3,-0.3033160781,1.135022478,0.2134372285,12085.54123,854.8356331,81,0.003331454052,585,1.135022478,0.2134372285,0.9957212548,0.09083968475,0.06036123132,5.791147269,0.3050085605,23.99659882,73,0.01337706935,1829,-0.3580031777,163.192498,179.7438895,8,1.135022478,0.2134372285,0.9909155959,102.7217706,0.09279292733,9.398917458,0.4843129621,249.166215
7.951734863e-13,182.3789618,27,0.0001674013727,0.001171809609,2,-0.1011104291,1.257234742,0.3110981452,8553.103142,1522.721718,115,0.03264326767,1,1.257234742,0.3110981452,0.9903804672,0.02739232719,0.01622779675,5.57075023,0.3041726286,17.31634783,5,0.001171809609,74,-0.2026672619,140.6266855,153.0621039,8,1.257234742,0.3110981452,0.9338125909,47.64224138,0.1026772444,9.546665985,0.4710850516,100.5431034
-4.883917121e-13,397.2796186,2,0.02625954198,0.2549007634,2,0.03914503817,1.606974155,0.4228868286,6659.948666,1070.332619,98,0.01160305344,287,1.606974155,0.4228868286,0.9934131082,0.06609078958,0.04217751585,6.039964992,0.2936480596,21.8535051,30,0.002625954198,527,0.1207328244,136.5895246,152.2607656,8,1.606974155,0.4228868286,0.9553642218,39.9561753,0.0795939747,13.18442961,0.4669588118,107.6334661
-4.033780992e-13,241.8171207,3,0.02608337528,0.1608932412,3,0.5600604036,1.244148673,0.4119119667,12275.92057,1142.511208,113,0.006177641514,114,1.244148673,0.4119119667,0.9987132854,0.05765543202,0.03559490893,5.936172007,0.2947666747,25.81543325,10,0.005216675056,2018,0.4337619549,154.6433624,170.0009425,7,1.244148673,0.4119119667,0.9841442266,48.07578558,0.08886466836,11.51680499,0.4742326519,118.0609982
-2.854674809e-13,432.7690282,7,0.2047701434,0.1191300049,3,0.8116040534,1.301451708,0.3910237824,9381.550649,874.3926836,104,0.01977261493,74,1.301451708,0.3910237824,0.9955493336,0.05208430031,0.03194448126,5.786403962,0.3114122313,24.23699684,6,0.009948096886,881,-0.5559194266,155.7273646,164.8509615,9,1.301451708,0.3910237824,0.9661201204,47.48648649,0.08556123691,12.52299002,0.5081765425,136.0918919
1.800607238e-13,313.8733762,32,0.1553551846,0.1007676374,3,0.5829170221,1.388128731,0.754148494,8047.716096,720.2048021,86,0.08955769465,126,1.388128731,0.754148494,0.9894306672,0.05858274071,0.0369740544,5.821291481,0.3166434398,28.20156898,37,0.01084440112,329,-0.6501766784,196.5736976,199.7120743,12,1.388128731,0.754148494,0.9619222865,34.29568106,0.1139391397,8.2870167,0.4680032475,65.17940199
-3.709865822e-13,334.3202723,3,0.01729623416,0.06588766125,3,-0.1258749349,1.096024558,0.3466006642,20660.79027,1392.576852,170,0.07919245676,174,1.096024558,0.3466006642,0.9982505276,0.04268592893,0.02614357423,6.181370549,0.2835766823,17.16743752,7,0.00404928559,566,0.09990166021,162.242295,174.1838046,8,1.096024558,0.3466006642,0.9762918598,52.88111888,0.09244950853,11.66446709,0.5203675223,145.8286713
1.586878777e-13,1307.160722,38,0.07571947471,0.09499860296,4,0.9913383627,1.217610693,0.6106423985,6860.301859,625.3503335,78,0.01089689858,213,1.217610693,0.6106423985,0.9803360561,0.1018023314,0.061579391,5.841065966,0.2516528515,28.24556261,3,0.09178541492,841,0.4075160659,164.5259032,178.6179775,7,1.217610693,0.6106423985,0.9407620922,22.85,0.08160714286,11.61918367,0.4385430259,54.69285714
