FLAIR_NC_Intensity_MedianAbsoluteDeviation,FLAIR_NC_Intensity_Mode,FLAIR_NC_Histogram_Bins-16_Bins-16_Bin-2_Frequency,FLAIR_NC_Histogram_Bins-16_Bins-16_Mode,FLAIR_NC_GLCM_Bins-16_Radius-1_Contrast,FLAIR_NC_NGTDM_Complexity,T1_NC_Intensity_MeanAbsoluteDeviation,T1_NC_Intensity_Range,T1_NC_Histogram_Bins-16_Bins-16_Bin-0_Frequency,T1_NC_Histogram_Bins-16_Bins-16_Bin-15_Frequency,T1_NC_Histogram_Bins-16_Bins-16_Kurtosis,T1_NC_Histogram_Bins-16_Bins-16_MeanAbsoluteDeviation,T1_NC_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T1_NC_GLSZM_Bins-16_Radius-1_ZoneSizeMean,T1_NC_GLSZM_Bins-16_Radius-1_ZoneSizeNoneUniformityNormalized,T1_NC_NGTDM_Complexity,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-10_Frequency,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-15_Probability,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-1_Frequency,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-1_Probability,T1GD_NC_Histogram_Bins-16_Bins-16_Bin-5_Probability,T1GD_NC_Histogram_Bins-16_Bins-16_MedianAbsoluteDeviation,T1GD_NC_Histogram_Bins-16_Bins-16_NinetyFifthPercentileMean,T1GD_NC_GLCM_Bins-16_Radius-1_Contrast,T1GD_NC_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis,T1GD_NC_GLSZM_Bins-16_Radius-1_SmallZoneHighGreyLevelEmphasis,T1GD_NC_GLSZM_Bins-16_Radius-1_ZoneSizeNoneUniformityNormalized,T2_NC_Intensity_Maximum,T2_NC_Intensity_NinetiethPercentile,T2_NC_Intensity_RootMeanSquare,T2_NC_Histogram_Bins-16_Bins-16_Bin-10_Probability,T2_NC_Histogram_Bins-16_Bins-16_InterQuartileRange,T2_NC_Histogram_Bins-16_Bins-16_MeanAbsoluteDeviation,T2_NC_Histogram_Bins-16_Bins-16_QuartileCoefficientOfVariation,T2_NC_GLSZM_Bins-16_Radius-1_SmallZoneEmphasis
-0.1304347826,128,2,9,9.433808554,864.298234,1.2851555570000001e-14,83,1,2,2.534396333,2.16252137e-15,-0.8173913043,2.3,0.376,942.4886144,21,0.008695652174,1,0.008695652174,0.07826086957,-0.2782608696,85.2,13.98778004,0.7125607639,63.52686632,0.4711914062,166,141,112.4401677,0.02608695652,4,4.726653851e-15,0.5,0.5582087349
-2.562291716,146,282,9,1.852014798,1062.607917,8.712081037e-13,178,14,4,3.762264047,5.6407147970000003e-14,-0.07385464705,13.88826554,0.3352693724,921.9201728,67,0.0001346483994,883,0.02972363416,0.1469350658,-0.1056653314,93.88175411,1.711108131,0.6211823136,35.04992551,0.3593241723,253,143,115.9286096,0.0211734608,2,5.454223340000001e-15,0.1428571429,0.5371864587
0.9950347265,123,163,6,0.9392464517,846.7252172,1.099787172e-12,109,27,2,3.054971314,5.420072281e-13,0.5108748629,18.99768519,0.3147947209,748.5130523,242,0.0001218472036,1227,0.03737662971,0.1027476544,0.9844340197,79.86900585,2.582235242,0.6239282697,45.65309061,0.36123001,227,178,147.0729806,0.1113074205,3,-5.195497445000001e-14,0.2,0.4866498084
2.315969989,143,60,8,1.964425443,925.7449327,2.547809766e-13,140,6,1,3.367288645,8.069572163e-15,0.4350482315,7.352245863,0.3087115249,770.9929336,186,0.0004287245445,1283,0.1375133976,0.1280814577,0.5187566988,119.135255,4.918122051,0.6344227058,42.46654391,0.3741982077,238,172,131.7320456,0.04662379421,4,-3.492092884e-13,0.3333333333,0.4677415818
-9.530817972,217,54,13,2.965720057,1171.53393,1.481989135e-13,142,3,2,4.614180793,-2.7066930370000004e-14,-0.2249423963,11.61204013,0.3119763761,820.2768802,16,0.0002880184332,545,0.1569700461,0.08611751152,0.2819700461,87.17816092,4.162903992,0.6501047724,36.65931058,0.391478842,230,199,150.2833202,0.08467741935,7,2.718409215e-14,0.4117647059,0.4684957853
-3.491230867,196,38,11,1.383491972,1402.368156,0.0,122,10,12,4.252535511,1.646302142e-13,0.1353635204,12.34645669,0.355981462,1045.892602,317,0.000318877551,19,0.003029336735,0.2007334184,0.890625,91.17073171,4.336219129,0.5871069305,54.56908718,0.3216779559,243,205,167.4580966,0.1800063776,3,-1.400821069e-13,0.1578947368,0.4776379602
-7.937723599,194,108,11,2.492148357,1138.843521,6.040940755e-13,157,8,11,2.608735774,-8.586321001000001e-14,0.5184841659,7.007428041,0.3496101917,910.2501711,934,0.003180071552,52,0.006890155028,0.09367960779,-0.191201802,89.37396122,7.477302532,0.6748322087,79.16797356,0.4214542822,228,177,141.7680488,0.1637736849,5,-2.348309848e-13,0.2941176471,0.558638137
-1.153061224,156,1,10,2.477099237,971.405639,6.525392471e-15,69,5,1,3.764449862,2.9001744319999996e-16,0.4387755102,1.719298246,0.4207448446,496.8813398,9,0.01020408163,1,0.01020408163,0.02040816327,0.3265306122,88.25,11.33587786,0.7601495726,77.93429487,0.5356213018,210,205,186.5704714,0.07142857143,3,-1.286952404e-15,0.12,0.4881439508
2.118230408,135,432,6,1.922356193,760.381721,3.70258242e-13,120,6,2,4.95729803,4.114366849e-13,0.03503123189,21.12789116,0.367237725,758.6482031,163,0.0001287912937,1236,0.07959301951,0.07083521154,0.2943525018,84.64691047,2.785829404,0.6785252531,52.99806495,0.4257041099,239,213,186.2497468,0.1603451607,3,-4.645779972e-13,0.1428571429,0.4762301023
-7.341920375,164,11,10,3.030656109,1223.575856,-3.758721151e-13,190,4,1,2.501413964,4.241623966e-14,0.4769711163,5.00390625,0.289855957,687.7035824,85,0.00156128025,54,0.04215456674,0.1069476971,0.2864949258,77.72222222,7.167986425,0.562809373,49.43579961,0.298933518,241,195,153.5379028,0.08196721311,4,-2.941319666e-14,0.2857142857,0.4359212064
